Entity,Code,Year,Mean (2021 prices),Population (historical),World regions according to OWID,time,time
Albania,,,14.8471575,,,,2020
Algeria,,,,,,,2024
Angola,,,,,,,2024
Armenia,,,8.848503,,,,2023
Australia,,,72.71122,,,,2020
Austria,,,81.63124,,,,2023
Azerbaijan,,,,,,,2024
Bangladesh,,,7.510242,,,,2022
Barbados,,,,,,,2024
Belarus,,,20.547213,,,,2020
Belgium,,,69.923615,,,,2023
Belize,,,,,,,2024
Benin,,,5.2668376,,,,2021
Bhutan,,,18.073696,,,,2022
Bolivia,,,22.932411,,,,2023
Bosnia and Herzegovina,,,,,,,2024
Botswana,,,,,,,2024
Brazil,,,25.532705,,,,2023
Bulgaria,,,39.4116,,,,2023
Burkina Faso,,,4.472096,,,,2021
Burundi,,,2.6171274,,,,2020
Cameroon,,,6.8537874,,,,2021
Canada,,,77.72996,,,,2021
Cape Verde,,,,,,,2024
Central African Republic,,,2.7529066,,,,2021
Chad,,,4.5775433,,,,2022
Chile,,,32.76781,,,,2022
China,,,17.109299,,,,2022
Colombia,,,19.182163,,,,2023
Comoros,,,,,,,2024
Congo,,,,,,,2024
Costa Rica,CRI,2024,30.73433,,North America,2023,2024
Cote d'Ivoire,,,6.0716295,,,,2021
Croatia,,,41.354122,,,,2023
Cyprus,,,63.37519,,,,2023
Czechia,,,43.34936,,,,2023
Democratic Republic of Congo,,,1.9507064,,,,2020
Denmark,,,72.673805,,,,2023
Djibouti,,,,,,,2024
Dominican Republic,DOM,2024,22.729546,,North America,2023,2024
East Timor,,,,,,,2024
Ecuador,ECU,2024,16.930481,,South America,2023,2024
Egypt,,,9.027522,,,,2021
El Salvador,,,15.455426,,,,2023
Equatorial Guinea,,,9.440321,,,,2022
Estonia,,,43.79758,,,,2023
Eswatini,,,,,,,2024
Ethiopia,,,4.163239,,,,2021
Fiji,,,8.526295,,,,2019
Finland,,,64.4631,,,,2023
France,,,66.80173,,,,2023
Gabon,,,,,,,2024
Gambia,,,6.466066,,,,2020
Georgia,GEO,2024,10.7141,,Asia,2023,2024
Germany,,,79.63479,,,,2020
Ghana,,,,,,,2024
Greece,,,34.240925,,,,2023
Grenada,,,,,,,2024
Guatemala,,,12.511656,,,,2023
Guinea,,,,,,,2024
Guinea-Bissau,,,4.3089066,,,,2021
Guyana,,,,,,,2024
Haiti,,,,,,,2024
Honduras,HND,2024,11.546224,,North America,2023,2024
Hungary,,,,,,,2024
Iceland,,,68.33211,,,,2019
India,,,6.3550925,,,,2022
Indonesia,IDN,2024,8.235058,,Asia,2023,2024
Iran,,,12.783147,,,,2023
Iraq,,,12.957657,,,,2023
Ireland,,,59.157333,,,,2023
Israel,,,42.778305,,,,2021
Italy,,,57.50909,,,,2023
Jamaica,,,18.942043,,,,2021
Japan,,,48.10824,,,,2020
Jordan,,,,,,,2024
Kazakhstan,,,15.093543,,,,2021
Kenya,,,4.288312,,,,2022
Kiribati,,,6.907507,,,,2019
Kosovo,,,12.346149,,,,2022
Kyrgyzstan,,,7.388985,,,,2023
Laos,,,,,,,2024
Latvia,,,40.018093,,,,2023
Lebanon,,,9.996689,,,,2022
Lesotho,,,,,,,2024
Liberia,,,,,,,2024
Lithuania,,,46.528545,,,,2023
Luxembourg,,,106.095955,,,,2023
Madagascar,,,2.9119458,,,,2021
Malawi,,,2.5915048,,,,2019
Malaysia,,,39.696262,,,,2021
Maldives,,,17.726778,,,,2019
Mali,,,4.7777743,,,,2021
Malta,,,65.44735,,,,2022
Marshall Islands,,,12.782961,,,,2019
Mauritania,,,7.20688,,,,2019
Mauritius,,,,,,,2024
Mexico,,,17.818584,,,,2022
Micronesia (country),,,,,,,2024
Moldova,,,13.528752,,,,2023
Mongolia,,,14.330854,,,,2022
Montenegro,,,20.636969,,,,2021
Morocco,,,,,,,2024
Mozambique,,,2.380777,,,,2022
Myanmar,,,,,,,2024
Namibia,,,,,,,2024
Nauru,,,,,,,2024
Nepal,,,9.469674,,,,2022
Netherlands,,,75.495895,,,,2021
Nicaragua,,,,,,,2024
Niger,,,3.3583598,,,,2021
Nigeria,,,4.1566157,,,,2022
North Macedonia,,,17.216728,,,,2019
Norway,,,86.74115,,,,2023
Pakistan,,,,,,,2024
Palestine,,,15.01795,,,,2023
Panama,PAN,2024,28.700144,,North America,2023,2024
Papua New Guinea,,,,,,,2024
Paraguay,PRY,2024,21.274677,,South America,2023,2024
Peru,PER,2024,13.862174,,South America,2023,2024
Philippines,,,7.255237,,,,2023
Poland,,,44.054623,,,,2023
Portugal,,,41.0672,,,,2023
Qatar,,,,,,,2024
Romania,,,32.655457,,,,2023
Russia,,,26.266544,,,,2020
Rwanda,,,4.8951716,,,,2023
Saint Lucia,,,,,,,2024
Samoa,,,,,,,2024
Sao Tome and Principe,,,,,,,2024
Senegal,,,6.512769,,,,2021
Serbia,,,21.973694,,,,2022
Seychelles,,,,,,,2024
Sierra Leone,,,,,,,2024
Slovakia,,,25.447556,,,,2023
Slovenia,,,54.709743,,,,2023
Solomon Islands,,,,,,,2024
South Africa,,,,,,,2024
South Korea,,,64.39007,,,,2021
South Sudan,,,,,,,2024
Spain,,,54.849464,,,,2023
Sri Lanka,,,10.576535,,,,2019
Sudan,,,,,,,2024
Suriname,,,18.695366,,,,2022
Sweden,,,62.833885,,,,2023
Switzerland,,,87.38968,,,,2022
Syria,,,5.341807,,,,2022
Taiwan,,,55.607807,,,,2021
Tajikistan,TJK,2024,9.544276,,Asia,2023,2024
Tanzania,,,,,,,2024
Thailand,,,20.376883,,,,2023
Togo,,,5.0608582,,,,2021
Tonga,,,12.599189,,,,2021
Trinidad and Tobago,,,,,,,2024
Tunisia,,,15.890997,,,,2021
Turkey,,,28.938576,,,,2022
Turkmenistan,,,,,,,2024
Tuvalu,,,,,,,2024
Uganda,,,3.648793,,,,2019
Ukraine,,,15.570489,,,,2020
United Arab Emirates,,,,,,,2024
United Kingdom,,,64.3205,,,,2021
United States,,,92.95212,,,,2023
Uruguay,URY,2024,35.21066,,South America,2023,2024
Uzbekistan,UZB,2024,16.579653,,Asia,2023,2024
Vanuatu,,,6.004411,,,,2019
Venezuela,,,,,,,2024
Vietnam,,,16.58664,,,,2022
Yemen,,,,,,,2024
Zambia,,,2.8581424,,,,2022
Zimbabwe,,,5.1664457,,,,2019